uaf_sector;uaf_ruts_total;uaf_ruts_match_sii_pj;uaf_match_rate_sii_pj;sii_acteco;sii_glosa;support_uaf_sector;coverage_sector;coverage_wilson_low;uaf_code_purity;lift_vs_uaf;sii_ruts_with_code;uaf_registered_any_with_code;registered_rate_any_uaf;registered_rate_target_sector;universe_sii_not_uaf_with_code;manual_sector_prior;manual_sector_similarity;manual_code_prior;empirical_role;confidence;false_positive_risk;empirical_score;rank_sector
Bolsas de valores;2;2;1.0;941100;ACTIVIDADES DE ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES;1;0.5;0.094529;0.2;722.3;2092;5;0.00239;0.000478;2087;Bolsas de Valores;1.0;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;ALTO;27.25;2
Bolsas de valores;2;2;1.0;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;1;0.5;0.094529;0.003831;13.8372;3592;261;0.072661;0.000278;3331;Bolsas de Valores;1.0;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;MEDIO;24.31;3
Cajas de Compensación;4;4;1.0;649203;CAJAS DE COMPENSACION;4;1.0;0.5101;1.0;1805.75;7;4;0.571429;0.571429;3;Cajas de Compensación;1.0;SI;GATILLANTE_NORMATIVO_CON_RESPALDO;MEDIA;BAJO;77.95;1
Cajas de Compensación;4;4;1.0;829900;OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.;1;0.25;0.045586;0.001961;3.5407;91110;510;0.005598;1.1e-05;90600;Cajas de Compensación;1.0;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;ALTO;14.7;2
Casas de cambio;346;243;0.702312;661204;ACTIVIDADES DE CASAS DE CAMBIO Y OPERADORES DE DIVISA;208;0.855967;0.806275;0.920354;27.3569;754;226;0.299735;0.275862;528;Casas de Cambio;1.0;SI;GATILLANTE_EMPIRICO_ALTO;ALTA;BAJO;90.09;1
Casas de cambio;346;243;0.702312;791100;ACTIVIDADES DE AGENCIAS DE VIAJES;27;0.111111;0.077493;0.45;13.3759;8169;60;0.007345;0.003305;8109;Casas de Cambio;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;30.24;4
Casas de cambio;346;243;0.702312;661100;ADMINISTRACION DE MERCADOS FINANCIEROS;10;0.041152;0.022504;0.454545;13.511;362;22;0.060773;0.027624;340;Casas de Cambio;1.0;NO;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;27.83;5
Casas de remate y martillo;290;54;0.186207;461009;OTROS TIPOS DE CORRETAJES O REMATES AL POR MAYOR N.C.P.;25;0.462963;0.336897;0.5;66.8796;1932;50;0.02588;0.01294;1882;Casas de Remate y Martillo;1.0;SI;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;ALTO;62.66;1
Casas de remate y martillo;290;54;0.186207;461002;CORRETAJE AL POR MAYOR DE GANADO;9;0.166667;0.090243;0.9;120.3833;1648;10;0.006068;0.005461;1638;Casas de Remate y Martillo;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;37.56;2
Casas de remate y martillo;290;54;0.186207;829900;OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.;24;0.444444;0.320023;0.047059;6.2946;91110;510;0.005598;0.000263;90600;Casas de Remate y Martillo;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;ALTO;31.68;4
